genesymbol	lfc_rna	ncbi_id	UniprotKB_rna	UniprotKB_prot	lfc_prot
Gpx1	-0.13481092	14775	P11352	P11352	1.1271231141990226
Gpx1	-0.13481092	14775	A0A0A6YVV2	A0A0A6YVV2	1.1271231141990226
Gpx1	-0.13481092	14775	A0A0A6YVV2	P11352	1.1271231141990226
Uqcrc1	-0.6491122	22273	Q9CZ13	Q9CZ13	0.19817906643841984
Gpd1l	-0.14089844	333433	Q3ULJ0	Q3ULJ0	0.29245221681915534
Gpd1l	-0.14089844	333433	B2RSR7	Q3ULJ0	0.29245221681915534
Acaa1b	1.1328865	235674	Q8VCH0	Q8VCH0	1.1108840243343414
Acaa1b	1.1328865	235674	Q3UKM0	Q8VCH0	1.1108840243343414
Acaa1a	0.89926296	113868	Q921H8	Q921H8	0.2550031245090193
Ppa1	0.058819007	67895	Q9D819	Q9D819	0.08941261776834508
Ppa1	0.058819007	67895	Q4FK49	Q9D819	0.08941261776834508
Hk1	-0.50758183	15275	P17710	G3UVV4	0.2947735617866299
Hk1	-0.50758183	15275	P17710	P17710	0.2947735617866299
Hk1	-0.50758183	15275	P17710	O08528	0.2947735617866299
Hk1	-0.50758183	15275	P17710	B4YB29	0.2947735617866299
Hk1	-0.50758183	15275	P17710	O08528	0.2947735617866299
Hk1	-0.50758183	15275	P17710	B4YB29	0.2947735617866299
Hk1	-0.50758183	15275	P17710	O08528	0.2947735617866299
Hk1	-0.50758183	15275	P17710	B4YB29	0.2947735617866299
Hk1	-0.50758183	15275	P17710	O08528	0.2947735617866299
Hk1	-0.50758183	15275	P17710	B4YB29	0.2947735617866299
Hk1	-0.50758183	15275	B4YB29	G3UVV4	0.2947735617866299
Hk1	-0.50758183	15275	B4YB29	P17710	0.2947735617866299
Hk1	-0.50758183	15275	B4YB29	O08528	0.2947735617866299
Hk1	-0.50758183	15275	B4YB29	B4YB29	0.2947735617866299
Hk1	-0.50758183	15275	B4YB29	O08528	0.2947735617866299
Hk1	-0.50758183	15275	B4YB29	B4YB29	0.2947735617866299
Hk1	-0.50758183	15275	B4YB29	O08528	0.2947735617866299
Hk1	-0.50758183	15275	B4YB29	B4YB29	0.2947735617866299
Hk1	-0.50758183	15275	B4YB29	O08528	0.2947735617866299
Hk1	-0.50758183	15275	B4YB29	B4YB29	0.2947735617866299
Hk1	-0.50758183	15275	G3UVV4	G3UVV4	0.2947735617866299
Hk1	-0.50758183	15275	G3UVV4	P17710	0.2947735617866299
Hk1	-0.50758183	15275	G3UVV4	O08528	0.2947735617866299
Hk1	-0.50758183	15275	G3UVV4	B4YB29	0.2947735617866299
Hk1	-0.50758183	15275	G3UVV4	O08528	0.2947735617866299
Hk1	-0.50758183	15275	G3UVV4	B4YB29	0.2947735617866299
Hk1	-0.50758183	15275	G3UVV4	O08528	0.2947735617866299
Hk1	-0.50758183	15275	G3UVV4	B4YB29	0.2947735617866299
